ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Gill,"River, stream, canal",Not reported,mg/kg (dry),White bream,85,20,1,0.99,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Lota lota,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Burbot,86,20,1,0.9903,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Whole body,,,mg/kg (wet),Greenland flounder,87,20,1,0.9905,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),Blue mussel,88,20,1,0.9907,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),Common whitefish,89,19,1,0.9909,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),Grayling,90,19,1,0.9911,tail,TRUE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Grayling,91,19,1,0.9913,tail,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Grayling,92,19,1,0.9915,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Total soft tissues minus gonads,"Coastal, fjord",Not relevant,mg/kg (dry),Green sea urchin,93,19,1,0.9917,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,,,mg/kg (wet),Northern shrimp,94,18,1,0.9919,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Arctic char,95,18,1,0.992,tail,FALSE,TRUE,,,
Aquatic,Aquatic Sediment,,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),,96,17,1,0.9922,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Sabinea sarsi,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,97,17,1,0.9924,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Mya arenaria,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Large-neck clam,98,17,1,0.9926,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Carcinus maenas,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Green crab,99,16,1,0.9927,tail,TRUE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Common limpet,100,16,1,0.9929,tail,FALSE,FALSE,,,
Terrestrial,Soil O Horizon (Organic),,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),,101,16,1,0.9931,tail,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Northern shrimp,102,15,1,0.9932,tail,TRUE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Liver,"River, stream, canal",Not reported,mg/kg (wet),White bream,103,15,1,0.9934,tail,FALSE,FALSE,,,
