ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Molluscs,Astarte borealis,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G145
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G146
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Plant tissue,"Coastal, fjord",Not reported,mg/kg (wet),G147
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G148
Biota,"Biota, Aquatic",Invertebrates,Urasterias lincki,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G149
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G150
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G151
Biota,"Biota, Aquatic",Mammals,Phoca groenlandica,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G152
Biota,"Biota, Aquatic",Mammals,Phoca groenlandica,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G153
Biota,"Biota, Aquatic",Worms,Arenicola marina,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G154
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (wet),G155
Aquatic,Brackish/Transitional Water,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G156
Aquatic,Porewater,,,,"Coastal, fjord",Other,mg/kg (wet),G157
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G158
Biota,"Biota, Aquatic",Fish,Brosme brosme,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G159
Biota,"Biota, Aquatic",Fish,Labrus bergylta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G160
Biota,"Biota, Aquatic",Fish,Leuciscus cephalus,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G161
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G162
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Gill,"River, stream, canal",Not reported,mg/kg (dry),G163
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"River, stream, canal",Not reported,mg/kg (wet),G164
Biota,"Biota, Aquatic",Invertebrates,Gorgonocephalus arcticus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G165
Biota,"Biota, Aquatic",Invertebrates,Pontaster tenuispinus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G166
Biota,"Biota, Terrestrial",Birds,Larus argentatus,Egg,"Coastal, fjord",Not reported,mg/kg (wet),G167
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Not relevant,mg/kg (dry),G168
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/kg (dry),G169
Aquatic,Freshwater,,,,"Drainage, sewer, artificial water",Water surface,mg/L,G170
Biota,"Biota, Aquatic",Crustaceans,Mysis relicta,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G171
Biota,"Biota, Aquatic",Ecosystem,Zooplankton epilimnion,Total soft tissues,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G172
Biota,"Biota, Aquatic",Fish,Centrolabrus exoletus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G173
Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"River, stream, canal",Not reported,mg/kg (wet),G174
Biota,"Biota, Aquatic",Fish,Esox lucius,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G175
Biota,"Biota, Aquatic",Fish,Lamna nasus,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G176
Biota,"Biota, Aquatic",Fish,Molva molva,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G177
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Whole body,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G178
Biota,"Biota, Aquatic",Fish,Pollachius pollachius,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G179
Biota,"Biota, Aquatic",Fish,Squalus acanthias,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G180
Biota,"Biota, Aquatic",Invertebrates,Insecta,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G181
Biota,"Biota, Aquatic",Invertebrates,Pteraster pulvillus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G182
