ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Molluscs,Astarte borealis,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G145-Bl-Owb-A-bor-Tst-Md
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G146-Bl-Onr-M-edu-Tst-Mw
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Plant tissue,"Coastal, fjord",Not reported,mg/kg (wet),G147-Ba-Cnr-A-nod-Pla-Mw
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G148-Bc-Cnr-C-pag-Wbd-Mw
Biota,"Biota, Aquatic",Invertebrates,Urasterias lincki,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G149-Bi-Owb-U-lin-Dsk-Md
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G150-Bm-Owc-Cy-cri-Kid-Mw
Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G151-Bm-Owc-Cy-cri-Liv-Mw
Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Kidney,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G152-Bm-Owc-P-gro-Kid-Mw
Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Liver,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G153-Bm-Owc-P-gro-Liv-Mw
Biota,"Biota, Aquatic",Worms,Arenicola marina,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G154-Br-Cnr-A-mar-Wbd-Mw
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (wet),G155-Wsd-Cot-Mw
Aquatic,Brackish/Transitional Water,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G156-Wbw-Owb-Md
Aquatic,Porewater,,,,"Coastal, fjord",Other,mg/kg (wet),G157-Wpw-Cot-Mw
